Сосновская КС;HB3H;64.02277;69.54148;116;;;
Луговая;USHL;59.71763;65.91017;53;678;40;Нетвёрдое (грунт)
Речка Черная;USRE;61.39688;73.17137;55;110;25;Твёрдое
Белоярское УТТ и СТ;HF2S;62.53913;65.96250;176;18;18;Твёрдое
Горнореченск;HA98;61.78657;67.58395;45;25;22;Твёрдое
Чистоборск;HFG8;61.71175;75.93547;57;12;10;Твёрдое
Полтавский (801-й км);HAO2;61.58935;66.19017;91;25;25;Твёрдое
ЦДНГ-8 НСН;HJ1V;63.20138;73.43440;115;20;20;Твёрдое
КС Согоровская;HB7O;60.63082;73.29413;91;30;30;Твёрдое
Высокий Мыс;HFP3;61.22085;72.13902;36;20;20;Твёрдое
Сивыс-Ях;HE99;60.16617;71.70607;82;25;25;Твёрдое (бетон)
Стойбище Якова Покачева;HH23;63.12115;73.31693;110;;;
Варьеган;HEL5;62.00470;76.74063;57;20;20;Твёрдое (бетон)
Юган;USRY;60.87880;73.69372;44;20;20;Твёрдое
692-й км;HA8J;59.50713;64.06965;82;20;20;Твёрдое
УПСВ Каменное;HJ0L;61.42169;67.28444;48;24;24;Твёрдое (железобетон)
Салым;HB2H;60.08833;71.48667;53;;;
Болчары;ZA1L;59.82367;68.83168;39;881;90;Нетвёрдое (грунт)
Супра;ZC69;60.87838;64.87585;72;628;70;Нетвёрдое (грунт)
ДНС Кетовская;HAD4;60.87842;75.12495;25;;;
ПОВХ-33;HAO9;62.44690;75.97263;79;25;23;Твёрдое (бетон)
Реполово;HB24;60.65512;69.83795;36;20;18;Твёрдое (бетон)
Белорусский;HA8E;61.01527;79.43617;55;135;30;Твёрдое
Октябрьское;USHO;62.44337;66.01072;12;20;20;Твёрдое (бетон)
Елизарово;HA8Y;61.39205;68.30157;24;22;20;Твёрдое
113 Куст;HB65;66.78468;79.59303;46;;;
КС-6;HCV9;59.94833;71.32833;70;30;30;Твёрдое (бетон)
731-й км;HHL3;60.71428;73.66329;40;18;16;Твёрдое
Сухоруково;HB3J;61.59227;68.03523;43;;;
Сорум КС;HB2B;64.21128;69.02838;76;;;
ПБ Первомайская;HDU3;59.26108;75.69252;98;;;
Рогожники;HH7R;62.15523;67.39663;122;25;25;Твёрдое
Асфальтовый завод;HA7O;60.98492;69.14400;33;20;20;Твёрдое (асфальт)
Тугияны;HB4A;63.55998;65.80768;3;20;20;Твёрдое
Лазаревская-2;HAG6;61.04205;64.93945;79;18;18;Твёрдое (бетон)
Алтай;HA7C;60.32575;68.95986;30;18;18;Твёрдое
Согом;HB34;60.50984;68.08143;39;21;21;Твёрдое
Мамонтово;HA87;60.76830;72.77998;43;55;55;Твёрдое (бетон)
Сосьва;HB38;63.65052;62.10277;20;600;60;Нетвёрдое (грунт)
Междуреченский;USHM;59.57957;65.89585;68;788;26;Нетвёрдое (грунт)
Вандрас;HEM3;60.41440;73.44803;65;20;20;Твёрдое (бетон)
Пойковский АБЗ;HB7S;61.01498;71.87993;40;;;
358-й км;HBC9;63.91433;67.09408;95;22;18;Твёрдое
Ловинка ЦПС;HAH5;61.21545;65.03590;98;26;12;Твёрдое
Озеро Большое;HF5C;59.51295;66.75515;59;22;22;Твёрдое (бетон)
Кондинское;USHK;59.65392;67.42733;41;1300;60;Нетвёрдое (грунт)
Приполярный;HAO3;63.20068;59.80270;278;668;70;Нетвёрдое (грунт)
Бахиловский;HF18;62.23195;79.61727;84;30;30;Твёрдое
Коонъях;HG0C;60.53440;73.03833;41;22;18;Твёрдое
Игрим;HF1T;63.18055;64.48820;19;10;10;Твёрдое
Юмас;HGV9;59.50700;66.52047;49;22;20;Твёрдое
Лянтор;USRL;61.65863;72.19917;61;158;100;Твёрдое (бетон)
Угут (Подбаза);HC2N;60.52368;74.11013;53;20;20;Твёрдое (бетон)
723-й км;HHL2;60.67304;74.88914;82;20;20;Твёрдое
Октябрьский;HAL3;62.54915;65.95503;174;45;35;Твёрдое (бетон)
425-й км;HBD1;63.43088;66.45115;136;;;
Вынгапур;HD4C;62.97153;77.01965;119;45;45;Твёрдое
Р-50;HB9E;61.08503;69.19298;24;;;
Лазаревская-1;HAG0;60.96725;64.78192;70;;;
207-й км;HA7P;63.08342;60.43142;185;;;Твёрдое
Интеграл;HD7X;60.89870;76.49760;24;24;24;Твёрдое (бетон)
61-й км;HAE2;60.48872;72.20627;79;48;48;Твёрдое
Пойковский;USRJ;60.99035;71.97527;45;30;20;Твёрдое
Кайгарка;HGX6;60.17613;70.11567;92;22;20;Твёрдое
Даниловка;HA8K;60.93873;64.13905;83;24;24;Твёрдое
Убинская;HB4C;60.69367;64.68223;71;25;25;Твёрдое (бетон)
Приполярный;HAP4;63.20369;59.75355;307;50;40;Твёрдое
НПС Ильичевка;HAB2;59.52947;67.69742;41;18;18;Твёрдое (бетон)
Урманный;HB4Y;61.62742;67.82296;45;16;16;Твёрдое
Селиярово;HB2Q;61.29527;70.38313;37;12;12;Твёрдое
Охтеурье;HBG7;60.97870;78.93882;46;18;18;Твёрдое
Верхнеказымская КС;HBA1;63.82163;67.78838;21;;;
Когалым;USRK;62.19058;74.53358;67;2500;42;Твёрдое (железобетон)
Игрим;USHI;63.19777;64.44193;15;2030;70;Нетвёрдое (грунт)
Хомес-2;HE71;63.48573;59.81635;141;12;12;Твёрдое
Бобровка;HA85;59.97518;69.92840;35;20;20;Твёрдое
Угут (ДНС);HC2O;60.51472;74.11085;52;18;18;Твёрдое (бетон)
Ваховск;HD6K;60.95363;78.77007;67;;;
Южно-Заболотный;HJ0J;61.68974;68.23918;105;10;10;Твёрдое
Таежная КС;HB3V;61.95152;64.83453;122;40;20;Твёрдое (бетон)
Зайцева Речка;HC19;60.64278;76.64350;53;19;18;Твёрдое
Сосновская КС;HB3H;64.02277;69.54148;116;;;
Луговая;USHL;59.71763;65.91017;53;678;40;Нетвёрдое (грунт)
Западный;HAI2;61.03370;76.05873;37;720;40;Нетвёрдое (грунт)
Бобровская КС;HBA0;63.24160;66.95172;119;;;
Угут (Южный);HEM1;60.49660;74.05455;40;18;16;Твёрдое (бетон)
Русскинские;HB2D;60.70682;73.79818;67;14;12;Твёрдое
Сатарино;HB7N;61.00602;71.75763;49;18;18;Твёрдое
Батово;HA8A;60.40612;69.81873;37;;;
