pollotion_type;lon;lat;reg_date;last_date;ground_type;square;pollution_level;restovration_date
газовый конденсат;77.439654;61.609343;11.03.2020;"25.05.2019; 11:00";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0257;Отбор проб не производился;До 2023
газовый конденсат;77.430958;61.610370;11.03.2020;"26.06.2019; 09:30"; земли промышленности, земли лесного фонда ;0,0695;Отбор проб не производился;До 2023
нефть;77.375259;61.542650;11.03.2020;"01.10.2019; 14:40";земли лесного фонда в долгосрочной аренде;0,0097;Отбор проб не производился;До 2023
нефть;77,461711;61,625932;02.03.2021;24.03.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0349;Отбор проб не производился;до 2025
нефть;77,430998;61,622685;02.03.2021;08.11.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0199;Отбор проб не производился;до 2025
нефтесодержащая жидкость;77,203402;61,4057;19.03.2019;-;земли лесного фонда;0,0076;330365;До 2022
нефтесодержащая жидкость;77,134026;61,3597;19.03.2019;-;земли лесного фонда;0,006;334143;До 2022
нефть;77.081198;61.251600;11.03.2020;"22.03.2019; 13:30";земли лесного фонда в долгосрочной аренде, земли лесного фонда, земли промышленности;0,1418;Отбор проб не производился;До 2023
нефть;77.153421;61.343810;11.03.2020;"23.04.2019; 12:50";земли лесного фонда в долгосрочной аренде, земли промышленности;0,053;Отбор проб не производился;До 2023
нефть;77,153610;61,343176;02.03.2021;13.07.2020;земли лесного фонда в долгосрочной аренде;0,0487;Отбор проб не производился;до 2025
подтоварная вода;77,141882;61,358281    ;02.03.2021;16.09.2020;земли лесного фонда в долгосрочной аренде;0,0193;Отбор проб не производился;до 2025
подтоварная вода;77,157013;61,345031;02.03.2021;16.10.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0302;Отбор проб не производился;до 2025
нефтесодержащая жидкость;78.018979 ;61.583124 ;15.02.2017;"20.04.2016; 09:50";земли лесного фонда в долгосрочной аренде;0,0056;Отбор проб не производился;до 2023
нефтесодержащая жидкость;78,123854;61,5955;19.03.2019;-;земли лесного фонда;0,1365;104158;До 2022
нефтесодержащая жидкость;78,077338;61,5838;19.03.2019;-;земли лесного фонда;0,3626;273842;До 2022
нефтесодержащая жидкость;78,076376;61,5837;19.03.2019;-;земли лесного фонда;0,1144;296358;До 2022
нефтесодержащая жидкость;78,09896;61,5837;19.03.2019;-;земли лесного фонда;0,0697;275695;До 2022
нефтесодержащая жидкость;78,129579;61,5933;19.03.2019;-;земли лесного фонда;0,221;378088;До 2022
нефтесодержащая жидкость;78,134439;61,5923;19.03.2019;-;земли лесного фонда;0,3181;234085;До 2022
нефть;78,100273;61,638701;02.03.2021;01.01.2020;земли лесного фонда в долгосрочной аренде;0,0108;Отбор проб не производился;до 2025
нефть;78,078908;61,583324;02.03.2021;02.10.2020;земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда;0,2219;Отбор проб не производился;до 2025
нефть;78,087137;61,601896;02.03.2021;13.11.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0183;Отбор проб не производился;до 2025
нефть;78,124316;61,595467;02.03.2021;30.11.2020;земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0998;Отбор проб не производился;до 2025
нефтесодержащая жидкость;76,451141;61,289288;15.02.2017;"03.02.2016; 09:50";земли лесного фонда в долгосрочной аренде, земли лесного фонда;1,055;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.739188  ;61.126186 ;15.02.2017;"25.02.2016; 11:00";земли лесного фонда в долгосрочной аренде;0,0058;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.737158   ;61.104973  ;15.02.2017;"29.02.2016; 13:45";земли лесного фонда в долгосрочной аренде;0,0063;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,538735;61,298576;15.02.2017;"01.03.2016; 16:40";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1386;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.685185  ;61.006262   ;15.02.2017;"08.03.2016; 00:40";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0071;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,49386;61,162553;15.02.2017;"15.03.2016; 11:00";земли лесного фонда в долгосрочной аренде;0,0641;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.822262 ;61.056354  ;15.02.2017;"17.03.2016; 14:15";земли лесного фонда в долгосрочной аренде;0,0339;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,710306;61,272989;15.02.2017;"23.03.2016; 11:15";земли лесного фонда в долгосрочной аренде;0,048;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,675592;61,053181;15.02.2017;"25.03.2016; 09:50";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0137;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.646991 ;61.052167 ;15.02.2017;"01.04.2016; 11:15";земли лесного фонда в долгосрочной аренде;0,0148;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.779828;61.209073  ;15.02.2017;"14.04.2016; 11:30";земли лесного фонда в долгосрочной аренде;0,0177;Отбор проб не производился;до 2023
нефтесодержащая жидкость;77,004399;61,183191;15.02.2017;"13.05.2016; 11:45";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,027;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.861899  ;61.225061;15.02.2017;"24.05.2016; 08:00";земли лесного фонда в долгосрочной аренде;0,0387;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,829167;61,247311;15.02.2017;"26.05.2016; 03:15";земли лесного фонда в долгосрочной аренде;0,1284;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,86107;61,212279;15.02.2017;"27.05.2016; 11:20";земли лесного фонда в долгосрочной аренде;0,0591;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,608328;61,094967;15.02.2017;"01.06.2016; 13:00";земли лесного фонда в долгосрочной аренде;0,0034;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,532873;61,130473;15.02.2017;"10.06.2016; 18:45";земли лесного фонда в долгосрочной аренде;0,0771;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.785136;61.053075;15.02.2017;"16.06.2016; 13:30";земли лесного фонда в долгосрочной аренде;0,0576;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,642826;61,087917;15.02.2017;"20.06.2016; 01:00";земли лесного фонда в долгосрочной аренде;0,1074;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.984681;61.019536 ;15.02.2017;"30.06.2016; 18:10";земли лесного фонда в долгосрочной аренде;0,064;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,73667;61,030399;15.02.2017;"04.07.2016; 10:40";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0151;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,753754;61,022536;15.02.2017;"21.07.2016; 10:10";земли лесного фонда в долгосрочной аренде;0,0308;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,642594;61,090164;15.02.2017;"25.07.2016; 14:00";земли лесного фонда в долгосрочной аренде;0,0705;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,892246;61,163704;15.02.2017;"29.07.2016; 22:20";земли лесного фонда в долгосрочной аренде;0,0129;Отбор проб не производился;до 2023
нефтесодержащая жидкость;77.032872;61.198768    ;15.02.2017;"04.08.2016; 10:20";земли лесного фонда в долгосрочной аренде ;0,0053;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.893444  ;61.163512    ;15.02.2017;"11.08.2016; 15:35";земли лесного фонда в долгосрочной аренде;0,0154;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,818808;61,256043;15.02.2017;"13.08.2016; 10:20";земли лесного фонда в долгосрочной аренде;0,0282;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,649556;61,341877;15.02.2017;"16.08.2016; 16:30";земли лесного фонда в долгосрочной аренде, земли промышленности;0,1678;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,603198;61,434803;15.02.2017;"18.08.2016; 13:00";земли лесного фонда в долгосрочной аренде;0,0035;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,60133;61,392361;15.02.2017;"19.08.2016; 10:10";земли лесного фонда в долгосрочной аренде, земли лесного фонда, земли промышленности;0,0854;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,622864;61,254863;15.02.2017;"23.08.2016; 10:15";земли лесного фонда в долгосрочной аренде;0,4076;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.841218;61.083649  ;15.02.2017;"31.08.2016; 09:20";земли промышленности;0,001;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,771314;61,04603;15.02.2017;"06.09.2016; 14:00";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,2594;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,455692;61,571935;15.02.2017;"06.09.2016; 13:25";земли лесного фонда в долгосрочной аренде;0,0563;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,582688;61,168137;15.02.2017;"06.09.2016; 12:15";земли лесного фонда в долгосрочной аренде;0,0086;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,310474;61,189837;15.02.2017;"10.09.2016;  11:30";земли лесного фонда в долгосрочной аренде;0,106;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,856165;61,05857;15.02.2017;"12.09.2016;  04:15";земли лесного фонда в долгосрочной аренде;0,0138;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,778818;61,040479;15.02.2017;"17.09.2016; 15:10";земли лесного фонда в долгосрочной аренде;0,014;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.605879;61.154274  ;15.02.2017;"18.09.2016;  02:50";земли лесного фонда в долгосрочной аренде;0,0247;Отбор проб не производился;до 2023
нефтесодержащая жидкость;77,000921;61,182281;15.02.2017;"29.09.2016;  01:15";земли лесного фонда в долгосрочной аренде;0,0263;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,429982;61,046689;15.02.2017;"17.10.2016;  18:00";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1251;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.357174;61.324066;15.02.2017;"25.10.2016;  11:00";земли лесного фонда в долгосрочной аренде;0,0197;Отбор проб не производился;до 2023
нефтесодержащая жидкость;77,023824;61,188541;15.02.2017;"26.10.2016;  10:40";земли лесного фонда в долгосрочной аренде;0,0681;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,667726;61,115834;15.02.2017;"30.10.2016;  15:40";земли лесного фонда в долгосрочной аренде;0,0814;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,862226;61,234034;15.02.2017;"30.10.2016;  08:20";земли лесного фонда в долгосрочной аренде;0,0047;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.482336;61.283540;15.02.2017;"05.11.2016; 11:20";земли лесного фонда в долгосрочной аренде;0,0221;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,735382;61,039274;15.02.2017;"17.11.2016; 09:00";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0135;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.752011;61.027736    ;15.02.2017;"21.11.2016; 13:10";земли промышленности;0,0079;Отбор проб не производился;до 2023
нефтесодержащая жидкость;77,02507;61,188886;15.02.2017;"23.11.2016; 14:00";земли лесного фонда в долгосрочной аренде;0,2862;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.815449;61.247027;15.02.2017;"24.11.2016; 13:30";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0695;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,980606;61,156808;15.02.2017;"24.11.2016; 00:40";земли лесного фонда в долгосрочной аренде;0,0359;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,725741;61,161825;15.02.2017;"30.11.2016; 11:00";земли лесного фонда в долгосрочной аренде;0,0045;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.797861;61.082020;15.02.2017;"09.12.2016; 11:10";земли лесного фонда в долгосрочной аренде, земли промышленности;0,7348;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,495504;61,116941;15.02.2017;"15.12.2016; 20:30";земли лесного фонда в долгосрочной аренде;0,1966;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,855653;61,175292;15.02.2017;"15.12.2016; 05:00";земли лесного фонда в долгосрочной аренде;0,0233;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,740264;61,034421;15.02.2017;"18.12.2016; 10:50";земли лесного фонда, земли промышленности;0,014;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,759953;61,178358;15.02.2017;-;земли лесного фонда в долгосрочной аренде;0,0369;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,62066;60,96719;15.02.2017;-;земли лесного фонда в долгосрочной аренде;0,1154;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.486518;61.020323 ;15.02.2017;"30.08.2016; 14:00";земли лесного фонда в долгосрочной аренде;0,0243;Отбор проб не производился;
нефтесодержащая жидкость;76,821516;61,106466;15.02.2018;"07.01.2017; 22:30";земли лесного фонда в долгосрочной аренде;0,021;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,91394;61,165946;15.02.2018;"09.01.2017; 15:25";земли лесного фонда в долгосрочной аренде;0,0343;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,930155;61,02897;15.02.2018;"17.01.2017; 11:00";земли лесного фонда ;0,0064;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,79679;61,141863;15.02.2018;"23.01.2017; 13:50";земли промышленности;0,0248;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,910753;61,047322;15.02.2018;"24.01.2017; 11:30";земли лесного фонда в долгосрочной аренде;0,0177;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,872858;61,068437;15.02.2018;"24.01.2017; 11:25";земли лесного фонда в долгосрочной аренде;0,0398;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,735495;61,087754;15.02.2018;"01.02.2017; 10:00";земли лесного фонда в долгосрочной аренде;0,0882;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,836823;61,24689;15.02.2018;"06.02.2017; 14:00";земли лесного фонда в долгосрочной аренде ;0,0123;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,836823;61,036214;15.02.2018;"09.02.2017; 10:45";земли лесного фонда в долгосрочной аренде ;0,0797;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,960607;61,068087;15.02.2018;"13.02.2017; 11:20";земли лесного фонда, земли промышленности ;0,0082;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,877288;61,019748;15.02.2018;"23.02.2017; 11:35";земли промышленности;0,0118;Отбор проб не производился;До 2020
нефтесодержащая жидкость;77,024594;61,188753;15.02.2018;"01.03.2017; 05:00";земли лесного фонда в долгосрочной аренде;0,0329;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,40519;61,346969;15.02.2018;"02.03.2017; 16:40";земли лесного фонда в долгосрочной аренде;0,1472;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,766356;61,057388;15.02.2018;"02.03.2017; 09:10";земли лесного фонда в долгосрочной аренде;0,0608;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,489049;61,265667;15.02.2018;"06.03.2017; 15:00";земли промышленности;0,0059;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,810065;61,146387;15.02.2018;"13.03.2017; 20:00";земли лесного фонда в долгосрочной аренде;0,0171;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,68429;61,269012;15.02.2018;"21.03.2017; 11:00";земли лесного фонда в долгосрочной аренде;0,0489;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,512361;61,024118;15.02.2018;"24.03.2017; 11:22";земли лесного фонда в долгосрочной аренде;0,0075;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,861725;61,099383;15.02.2018;"25.03.2017; 12:50";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,2843;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,455373;61,043086;15.02.2018;"15.04.2017; 11:00";земли лесного фонда;0,0203;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,611507;61,074461;15.02.2018;"17.04.2017; 14:00";земли лесного фонда в долгосрочной аренде, земли промышленности;0,1628;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,853275;61,064915;15.02.2018;"23.04.2017; 15:20";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0189;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,982549;61,009466;15.02.2018;"17.08.2019; 12:35";земли лесного фонда, земли промышленности;0,0652;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,920141;61,078615;15.02.2018;"03.05.2017; 13:10";земли лесного фонда в долгосрочной аренде;0,0034;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,731659;61,168253;15.02.2018;"07.05.2017; 14:10";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,048;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,415314;61,016862;15.02.2018;"10.05.2017;  08:00";земли промышленности;0,1274;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,41118;61,240195;15.02.2018;"13.05.2017;  02:30";земли лесного фонда в долгосрочной аренде;0,1454;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,81613;61,190652;15.02.2018;"21.05.2017;  22:10";земли лесного фонда в долгосрочной аренде;0,0131;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,858053;61,174279;15.02.2018;"10.06.2017;  01:45";земли промышленности;0,0062;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,874161;61,032958;15.02.2018;"15.06.2017;  11:50";земли лесного фонда в долгосрочной аренде;0,1355;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,892517;61,072401;15.02.2018;"20.06.2017;  11:45";земли лесного фонда в долгосрочной аренде;0,0287;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,436046;61,1936;15.02.2018;"20.06.2017;  11:00";земли лесного фонда в долгосрочной аренде;0,0097;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,480898;61,193485;15.02.2018;"23.06.2017;  17:10";земли лесного фонда в долгосрочной аренде;0,0084;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,906296;61,09624;15.02.2018;"23.06.2017;  10:05";земли лесного фонда в долгосрочной аренде;0,0385;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,534979;61,131293;15.02.2018;"26.06.2017;  10:00";земли лесного фонда в долгосрочной аренде;0,0294;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,968569;61,158507;15.02.2018;"27.06.2017;  02:20";земли лесного фонда в долгосрочной аренде;0,0298;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,456753;61,287438;15.02.2018;"07.07.2017;  11:10";земли лесного фонда в долгосрочной аренде, земли промышленности;0,7653;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,888713;61,23031;15.02.2018;"11.07.2017;  12:10";земли лесного фонда в долгосрочной аренде;0,025;Отбор проб не производился;До 2020
ВНЭ;76,926376;61,048664;15.02.2018;"24.07.2017;  11:00";земли лесного фонда в долгосрочной аренде;0,1463;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,412129;61,350895;15.02.2018;"26.07.2017;  14:00";земли лесного фонда в долгосрочной аренде;0,0907;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,84342;61,04328;15.02.2018;"27.07.2017;  09:00";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0851;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,814414;61,247003;15.02.2018;"05.08.2017;  06:08";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0882;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,932427;61,225113;15.02.2018;"06.08.2017;  14:10";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1173;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,932416;61,22511;15.02.2018;"07.08.2017;  06:05";земли лесного фонда в долгосрочной аренде;0,0011;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,626356;61,09502;15.02.2018;"11.08.2017;  10:15";земли лесного фонда в долгосрочной аренде;0,0687;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,637434;61,053816;15.02.2018;"16.08.2017;  09:45";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0866;Отбор проб не производился;До 2020
нефтесодержащая жидкость;77,040076;61,201109;15.02.2018;"18.08.2017;  13:05";земли лесного фонда в долгосрочной аренде;0,0239;Отбор проб не производился;До 2020
нефтесодержащая жидкость;77,422801;61,303333;15.02.2018;"19.08.2017;  15:10";земли лесного фонда в долгосрочной аренде;0,002;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,757987;61,005622;15.02.2018;"24.08.2017; 11:10";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0454;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,580963;61,114995;15.02.2018;"25.08.2017; 12:05";земли лесного фонда в долгосрочной аренде;0,0084;Отбор проб не производился;До 2020
подтоварная вода;76,853856;61,145338;15.02.2018;"29.08.2017;  15:55";земли промышленности;0,0263;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,597866;61,147869;15.02.2018;"30.08.2017;  08:30";земли лесного фонда в долгосрочной аренде;0,0663;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,501537;61,161556;15.02.2018;"30.08.2017;  15:35";земли лесного фонда в долгосрочной аренде;0,0384;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,83362;61,033801;15.02.2018;"09.09.2017;  10:30";земли лесного фонда в долгосрочной аренде;0,0183;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,526184;61,177168;15.02.2018;"09.12.2018;  12:10";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,9297;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,848941;61,020243;15.02.2018;"28.09.2017;  09:45";земли лесного фонда в долгосрочной аренде;0,0132;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,656416;61,294886;15.02.2018;"28.09.2017;  10:05";земли лесного фонда в долгосрочной аренде;0,0301;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,889756;61,230097;15.02.2018;"04.10.2017;  04:05";земли лесного фонда в долгосрочной аренде;0,0451;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,73371;61,068204;15.02.2018;"07.10.2017;  04:20";земли лесного фонда в долгосрочной аренде;0,0917;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,702389;61,068181;15.02.2018;"17.10.2017;  08:50";земли лесного фонда в долгосрочной аренде;0,0089;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,820451;61,206811;15.02.2018;"23.10.2017;  09:35";земли лесного фонда в долгосрочной аренде;0,0343;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,815932;61,10547;15.02.2018;"26.10.2017;  10:20";земли лесного фонда в долгосрочной аренде;0,0142;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,780802;61,008146;15.02.2018;"27.10.2017; 14:50";земли лесного фонда;0,0002;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,965764;61,153877;15.02.2018;"05.11.2017; 23:00";земли промышленности;0,0035;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,801286;61,010297;15.02.2018;"09.11.2017; 08:40";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0451;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,708862;61,073839;15.02.2018;"22.11.2017;  09:40";земли промышленности;0,0236;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,837559;61,089658;15.02.2018;"24.11.2017;  11:00";земли лесного фонда в долгосрочной аренде;0,0139;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,5678;61,32198;15.02.2018;"02.12.2017;  13:45";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1542;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,965787;61,153876;15.02.2018;"07.12.2017;  16:05";земли промышленности;0,0065;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,694753;61,167261;15.02.2018;"07.12.2017;  16:00";земли лесного фонда в долгосрочной аренде;0,1829;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,6373;61,197336;15.02.2018;"18.12.2017;  11:20";земли лесного фонда в долгосрочной аренде;0,0726;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,692827;61,25295;15.02.2018;"26.12.2017;  14:50";земли лесного фонда в долгосрочной аренде;0,0397;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,763529;61,260659;15.02.2018;"27.12.2017;  15:45";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0872;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,456757;61,287306;15.02.2018;"29.12.2017;  12:40";земли лесного фонда в долгосрочной аренде, земли промышленности;0,1254;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,549498;61,318499;15.02.2018;"26.12.2018;  14:35";земли лесного фонда в долгосрочной аренде, земли лесного фонда;1,7674;Отбор проб не производился;До 2020
нефтесодержащая жидкость;76,866113;61,179254;19.03.2019;"03.01.2018; 11:00";земли лесного фонда в долгосрочной аренде, земли лесного фонда, земли промышленности;0,1589;Отбор проб не производился;До 2021
газовый конденсат;76,62194;61,186649;19.03.2019;"08.01.2018;  09:00";земли лесного фонда в долгосрочной аренде;0,0021;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,860386;61,187658;19.03.2019;"11.01.2018;  15:45";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0582;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,690698;61,249292;19.03.2019;"11.01.2018;  15:30";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,328;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,655657;61,171164;19.03.2019;"15.01.2018;  17:50";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0317;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,766377;61,057086;19.03.2019;"18.01.2018;  10:40";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0096;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,833606;61,030196;19.03.2019;"23.01.2018;  14:10";земли лесного фонда в долгосрочной аренде;0,025;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,447283;61,177156;19.03.2019;"26.01.2018;  13:40";земли лесного фонда в долгосрочной аренде;0,0297;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,92938;61,223792;19.03.2019;"28.01.2018;  11:50";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1805;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,780809;61,008154;19.03.2019;"04.02.2018;  00:02";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,066;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,778223;61,116901;19.03.2019;"07.02.2018;  11:50";земли лесного фонда в долгосрочной аренде;0,0262;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,413005;61,032243;19.03.2019;"08.02.2018;  11:30";земли лесного фонда в долгосрочной аренде;0,1192;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,463307;61,203732;19.03.2019;"12.02.2018;  11:00";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1319;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,378861;61,04549;19.03.2019;"14.02.2018;  22:40";земли лесного фонда в долгосрочной аренде;0,098;Отбор проб не производился;До 2021
нефтесодержащая жидкость;76,700713;61,243183;19.03.2019;"17.02.2018;  10:00";земли промышленности;0,0998;Отбор проб не производился;До 2021
