lon,lat,reg_date,last_date_cutted,square
76.68429,61.269012,2018-02-15,2017-03-21,0.0489
76.51236,61.024117,2018-02-15,2017-03-24,0.0075
76.861725,61.099384,2018-02-15,2017-03-25,0.2843
76.455376,61.043087,2018-02-15,2017-04-15,0.0203
76.6115,61.074463,2018-02-15,2017-04-17,0.1628
76.85327,61.064915,2018-02-15,2017-04-23,0.0189
76.98255,61.009464,2018-02-15,2019-08-17,0.0652
76.92014,61.078613,2018-02-15,2017-05-03,0.0034
76.73166,61.168255,2018-02-15,2017-05-07,0.048
76.41531,61.01686,2018-02-15,2017-05-10,0.1274
76.41118,61.240196,2018-02-15,2017-05-13,0.1454
76.81613,61.19065,2018-02-15,2017-05-21,0.0131
76.858055,61.17428,2018-02-15,2017-06-10,0.0062
76.87416,61.03296,2018-02-15,2017-06-15,0.1355
76.89252,61.0724,2018-02-15,2017-06-20,0.0287
76.43604,61.1936,2018-02-15,2017-06-20,0.0097
76.480896,61.193485,2018-02-15,2017-06-23,0.0084
76.906296,61.09624,2018-02-15,2017-06-23,0.0385
76.53498,61.131294,2018-02-15,2017-06-26,0.0294
76.96857,61.15851,2018-02-15,2017-06-27,0.0298
76.45676,61.287437,2018-02-15,2017-07-07,0.7653
76.88871,61.23031,2018-02-15,2017-07-11,0.025
76.92638,61.048664,2018-02-15,2017-07-24,0.1463
76.41213,61.350895,2018-02-15,2017-07-26,0.0907
76.84342,61.04328,2018-02-15,2017-07-27,0.0851
76.814415,61.247,2018-02-15,2017-08-05,0.0882
76.93243,61.225113,2018-02-15,2017-08-06,0.1173
76.93242,61.22511,2018-02-15,2017-08-07,0.0011
76.62636,61.09502,2018-02-15,2017-08-11,0.0687
76.637436,61.053818,2018-02-15,2017-08-16,0.0866
77.04008,61.20111,2018-02-15,2017-08-18,0.0239
77.4228,61.303333,2018-02-15,2017-08-19,0.002
76.75799,61.005623,2018-02-15,2017-08-24,0.0454
76.58096,61.114994,2018-02-15,2017-08-25,0.0084
76.85386,61.145336,2018-02-15,2017-08-29,0.0263
76.59786,61.14787,2018-02-15,2017-08-30,0.0663
76.50153,61.161556,2018-02-15,2017-08-30,0.0384
76.83362,61.033802,2018-02-15,2017-09-09,0.0183
76.526184,61.17717,2018-02-15,2018-12-09,0.9297
76.84894,61.020245,2018-02-15,2017-09-28,0.0132
76.65642,61.294888,2018-02-15,2017-09-28,0.0301
76.889755,61.2301,2018-02-15,2017-10-04,0.0451
76.73371,61.068203,2018-02-15,2017-10-07,0.0917
76.70239,61.06818,2018-02-15,2017-10-17,0.0089
76.82045,61.20681,2018-02-15,2017-10-23,0.0343
76.81593,61.10547,2018-02-15,2017-10-26,0.0142
76.7808,61.008144,2018-02-15,2017-10-27,0.0002
76.96577,61.153877,2018-02-15,2017-11-05,0.0035
76.801285,61.010296,2018-02-15,2017-11-09,0.0451
76.70886,61.073837,2018-02-15,2017-11-22,0.0236
